studyID,Study_no,ES_no,Title,FirstAuth,Pub_year,Pub_name,City,Country,Study_year,Study_class,Study_order,Study_spec,Conn_type,Conn_metric,Conn_buffer,Conn_feat,Conn_lcclass,r_metric,ni,n_type,NOTES,yi,vi,rcorr_type,City_clean,area_km2,lat,long,geog_region,biome_list,elevavg_m,Age_mean,Age_SD,green_avg,green_km2,built_km2,pop_km2,absLat,prop_green,pop_dens,greenbuiltratio,area_km2_log,built_km2_log,green_km2_log,prop_green_log,pop_dens_log
Lizée_2012_5,5,1,Matrix configuration and patch isolation influences override the species–area relationship for urban butterfly communities,Lizée,2012,Landscape Ecology,Marseille,France,2008,insecta,lepidoptera,NA,structural,distance to natural area,1,proximity,dist-green,species richness,24,sites - parks,Results presented as log(). Table2,0.7752987062055836,0.04761904761904761,full,Marseille,255,43.30069617,5.407161707,Europe,"Mediterranean Forests, Woodlands, and Scrub",89.26444279,5.33333333333,2.88675134595,0.387784379,253.56327,156.3828735,13.65246959846784,43.30069617,1.0056661597714842,3331.589765882353,1.5824825317301006,5.545177444479562,5.058681521295728,5.539549410201503,0.6959762548385545,8.111504988188914
Lizée_2012_5,5,2,Matrix configuration and patch isolation influences override the species–area relationship for urban butterfly communities,Lizée,2012,Landscape Ecology,Marseille,France,2008,insecta,lepidoptera,NA,structural,distance to natural area,1,proximity,dist-green,abundance,24,sites - parks,Results presented as log(). Table2,0.42364893019360184,0.04761904761904761,full,Marseille,255,43.30069617,5.407161707,Europe,"Mediterranean Forests, Woodlands, and Scrub",89.26444279,5.33333333333,2.88675134595,0.387784379,253.56327,156.3828735,13.65246959846784,43.30069617,1.0056661597714842,3331.589765882353,1.5824825317301006,5.545177444479562,5.058681521295728,5.539549410201503,0.6959762548385545,8.111504988188914
Lizée_2012_5,5,3,Matrix configuration and patch isolation influences override the species–area relationship for urban butterfly communities,Lizée,2012,Landscape Ecology,Marseille,France,2008,insecta,lepidoptera,NA,structural,aggregation index of greenspace,1,adjacency,green,species richness,24,sites - parks,Results presented as log(). Table2,0.8479557552189635,0.04761904761904761,full,Marseille,255,43.30069617,5.407161707,Europe,"Mediterranean Forests, Woodlands, and Scrub",89.26444279,5.33333333333,2.88675134595,0.387784379,253.56327,156.3828735,13.65246959846784,43.30069617,1.0056661597714842,3331.589765882353,1.5824825317301006,5.545177444479562,5.058681521295728,5.539549410201503,0.6959762548385545,8.111504988188914
Lizée_2012_5,5,4,Matrix configuration and patch isolation influences override the species–area relationship for urban butterfly communities,Lizée,2012,Landscape Ecology,Marseille,France,2008,insecta,lepidoptera,NA,structural,aggregation index of greenspace,1,adjacency,green,abundance,24,sites - parks,Results presented as log(). Table2,0.5493061443340549,0.04761904761904761,full,Marseille,255,43.30069617,5.407161707,Europe,"Mediterranean Forests, Woodlands, and Scrub",89.26444279,5.33333333333,2.88675134595,0.387784379,253.56327,156.3828735,13.65246959846784,43.30069617,1.0056661597714842,3331.589765882353,1.5824825317301006,5.545177444479562,5.058681521295728,5.539549410201503,0.6959762548385545,8.111504988188914
Lizée_2012_5,5,5,Matrix configuration and patch isolation influences override the species–area relationship for urban butterfly communities,Lizée,2012,Landscape Ecology,Marseille,France,2008,insecta,lepidoptera,NA,structural,aggregation index of builtup,1,adjacency,grey,species richness,24,sites - parks,Results presented as log(). Table2,0.8107431254751375,0.04761904761904761,full,Marseille,255,43.30069617,5.407161707,Europe,"Mediterranean Forests, Woodlands, and Scrub",89.26444279,5.33333333333,2.88675134595,0.387784379,253.56327,156.3828735,13.65246959846784,43.30069617,1.0056661597714842,3331.589765882353,1.5824825317301006,5.545177444479562,5.058681521295728,5.539549410201503,0.6959762548385545,8.111504988188914
Lizée_2012_5,5,6,Matrix configuration and patch isolation influences override the species–area relationship for urban butterfly communities,Lizée,2012,Landscape Ecology,Marseille,France,2008,insecta,lepidoptera,NA,structural,aggregation index of builtup,1,adjacency,grey,abundance,24,sites - parks,Results presented as log(). Table2,0.8107431254751375,0.04761904761904761,full,Marseille,255,43.30069617,5.407161707,Europe,"Mediterranean Forests, Woodlands, and Scrub",89.26444279,5.33333333333,2.88675134595,0.387784379,253.56327,156.3828735,13.65246959846784,43.30069617,1.0056661597714842,3331.589765882353,1.5824825317301006,5.545177444479562,5.058681521295728,5.539549410201503,0.6959762548385545,8.111504988188914
Lizée_2012_5,5,7,Matrix configuration and patch isolation influences override the species–area relationship for urban butterfly communities,Lizée,2012,Landscape Ecology,Marseille,France,2008,insecta,lepidoptera,NA,structural,proportion impervious in buffer,1,area,grey,species richness,24,sites - parks,Results presented as log(). Table2,0.9729550745276566,0.04761904761904761,full,Marseille,255,43.30069617,5.407161707,Europe,"Mediterranean Forests, Woodlands, and Scrub",89.26444279,5.33333333333,2.88675134595,0.387784379,253.56327,156.3828735,13.65246959846784,43.30069617,1.0056661597714842,3331.589765882353,1.5824825317301006,5.545177444479562,5.058681521295728,5.539549410201503,0.6959762548385545,8.111504988188914
Lizée_2012_5,5,8,Matrix configuration and patch isolation influences override the species–area relationship for urban butterfly communities,Lizée,2012,Landscape Ecology,Marseille,France,2008,insecta,lepidoptera,NA,structural,proportion impervious in buffer,1,area,grey,abundance,24,sites - parks,Results presented as log(). Table2,0.7752987062055836,0.04761904761904761,full,Marseille,255,43.30069617,5.407161707,Europe,"Mediterranean Forests, Woodlands, and Scrub",89.26444279,5.33333333333,2.88675134595,0.387784379,253.56327,156.3828735,13.65246959846784,43.30069617,1.0056661597714842,3331.589765882353,1.5824825317301006,5.545177444479562,5.058681521295728,5.539549410201503,0.6959762548385545,8.111504988188914
Lizée_2012_5,5,9,Matrix configuration and patch isolation influences override the species–area relationship for urban butterfly communities,Lizée,2012,Landscape Ecology,Marseille,France,2008,insecta,lepidoptera,NA,structural,proportion greenspace in buffer,1,area,green,species richness,24,sites - parks,Results presented as log(). Table2,0.8871838632580928,0.04761904761904761,full,Marseille,255,43.30069617,5.407161707,Europe,"Mediterranean Forests, Woodlands, and Scrub",89.26444279,5.33333333333,2.88675134595,0.387784379,253.56327,156.3828735,13.65246959846784,43.30069617,1.0056661597714842,3331.589765882353,1.5824825317301006,5.545177444479562,5.058681521295728,5.539549410201503,0.6959762548385545,8.111504988188914
Lizée_2012_5,5,10,Matrix configuration and patch isolation influences override the species–area relationship for urban butterfly communities,Lizée,2012,Landscape Ecology,Marseille,France,2008,insecta,lepidoptera,NA,structural,proportion greenspace in buffer,1,area,green,abundance,24,sites - parks,Results presented as log(). Table2,0.632833186665638,0.04761904761904761,full,Marseille,255,43.30069617,5.407161707,Europe,"Mediterranean Forests, Woodlands, and Scrub",89.26444279,5.33333333333,2.88675134595,0.387784379,253.56327,156.3828735,13.65246959846784,43.30069617,1.0056661597714842,3331.589765882353,1.5824825317301006,5.545177444479562,5.058681521295728,5.539549410201503,0.6959762548385545,8.111504988188914
